codice_cliente,prodotto,premio_totale_annuo,premio_simulato,p_claim,severity_pred,pure_premium_pred,loss_ratio_pred,loss_ratio_post,cluster_stream1,cluster_risposta,pricing_action
9500,assicurazione casa e famiglia: casa serena,387.0,367.65,0.009055642506197888,5026.469138489272,45.517907586595335,0.11761733226510422,0.12380771817379393,0,moderate_responder,Sconto prudente (-5%)
9501,assicurazione casa e famiglia: casa serena,683.0,614.7,0.004361865647938016,5484.249319868543,23.921558713062026,0.035024244089402676,0.03891582676600297,2,high_responder,Sconto selettivo (-10%)
9502,polizza salute e infortuni: salute protetta,535.0,615.25,0.38069145643001495,10008.786219589752,3810.259403032286,7.121980192583712,6.193026254420619,4,high_responder,Aumento premio (+15%)
9502,assicurazione casa e famiglia: casa serena,273.0,313.95,0.38069145643001495,10864.142688929562,4135.886303112094,15.149766678066277,13.173710154840242,4,high_responder,Aumento premio (+15%)
9503,polizza salute e infortuni: salute protetta,887.0,842.65,0.0039768554724398456,2581.452068330984,10.266061784783231,0.011573914075291129,0.012183067447674872,3,moderate_responder,Sconto prudente (-5%)
9503,assicurazione casa e famiglia: casa serena,271.0,257.45,0.003867522566199806,7279.119063432528,28.1521572398805,0.10388249904014944,0.10934999898963099,3,moderate_responder,Sconto prudente (-5%)
9505,polizza salute e infortuni: salute protetta,709.0,638.1,0.003625564589041803,2653.324019393141,9.619797607965838,0.013568120744662676,0.015075689716291862,2,high_responder,Sconto selettivo (-10%)
9505,assicurazione casa e famiglia: casa serena,313.0,281.7,0.0037981962089339606,2295.1278003580646,8.717345710338941,0.027850944761466268,0.030945494179406965,2,high_responder,Sconto selettivo (-10%)
9506,polizza salute e infortuni: salute protetta,991.0,941.4499999999999,0.004272105275312862,3326.60272836845,14.211597064733013,0.014340663032021203,0.015095434770548637,0,moderate_responder,Sconto prudente (-5%)
9507,assicurazione casa e famiglia: casa serena,705.0,669.75,0.01190312685961292,1783.060638693137,21.223996980746847,0.030104960256378505,0.03168943184881948,3,moderate_responder,Sconto prudente (-5%)
9508,polizza salute e infortuni: salute protetta,693.0,658.35,0.004304672659583712,1609.3313174842885,6.927644522586451,0.009996601042693292,0.01052273793967715,3,moderate_responder,Sconto prudente (-5%)
9508,assicurazione casa e famiglia: casa serena,379.0,360.05,0.003978488874228266,1432.2903318918318,5.698351150096363,0.015035227308961379,0.01582655506206461,3,moderate_responder,Sconto prudente (-5%)
9509,assicurazione casa e famiglia: casa serena,549.0,521.55,0.003835277187562858,6500.962680879523,24.932993867174712,0.045415289375545925,0.04780556776373256,3,moderate_responder,Sconto prudente (-5%)
9511,polizza salute e infortuni: salute protetta,430.0,408.5,0.0035823470103202464,1999.496050008946,7.162888696896689,0.016657880690457417,0.01753461125311307,2,moderate_responder,Sconto prudente (-5%)
9511,assicurazione casa e famiglia: casa serena,682.0,647.9,0.003509752194656838,2140.473969059423,7.512533210512142,0.011015444590193758,0.011595204831782903,2,moderate_responder,Sconto prudente (-5%)
